key,id,chapter_id,land_id,is_big,power,show_items,hook_items,hook_show_items,per_hook_items,quick_show_items
160400,160400,16,5,1,754146,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2140],[22,2155],[1,2330],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2140],[22,2155],[1,2330],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160390,160390,16,5,0,753884,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2130],[22,2155],[1,2330],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2130],[22,2155],[1,2330],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160380,160380,16,5,0,747531,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2130],[22,2145],[1,2320],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2130],[22,2145],[1,2320],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160370,160370,16,5,0,747269,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2130],[22,2145],[1,2320],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2130],[22,2145],[1,2320],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160360,160360,16,5,0,747006,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2120],[22,2145],[1,2320],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2120],[22,2145],[1,2320],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160350,160350,16,5,1,746744,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2120],[22,2135],[1,2310],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2120],[22,2135],[1,2310],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160340,160340,16,5,0,746481,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2120],[22,2135],[1,2310],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2120],[22,2135],[1,2310],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160330,160330,16,5,0,746219,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2110],[22,2135],[1,2310],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2110],[22,2135],[1,2310],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160320,160320,16,5,0,745956,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2110],[22,2125],[1,2300],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2110],[22,2125],[1,2300],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
160310,160310,16,5,0,745694,"[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1]]","[[5,2110],[22,2125],[1,2300],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]","[[5,2110],[22,2125],[1,2300],[7,13]]","[[3,1],[7,1],[10001,1],[29905,1],[10451,1],[40112,1],[40212,1],[40312,1],[40412,1],[10601,1],[10480,1]]"
