ID,Loại Vật Phẩm,Tên Hiển Thị,Icon_ID,Tên_File_Ảnh,Đường_Dẫn_Ảnh_Tương_Đối,Công_Thức_IMAGE_Excel,Mô Tả,Công Dụng,File Gốc
1,Tài Sản,Bạc,1,1.png,icons/item/1.png,"=IMAGE(""icons/item/1.png"")","Chế tạo bằng bạc nguyên chất, là loại tiền tệ cơ bản lưu hành trong thế giới Ninja, luôn phải đem theo trên người nhé",,item_data1.luac
2,Tài Sản,Bị cấm,2,2.png,icons/item/2.png,"=IMAGE(""icons/item/2.png"")","Một trong những loại tiền tệ phổ biến trong thế giới Ninja, có thể được sử dụng cho các giao dịch hàng ngày",,item_data1.luac
3,Tài Sản,Vàng,3,3.png,icons/item/3.png,"=IMAGE(""icons/item/3.png"")","Tiền vàng hiếm có trong thế giới Ninja, có thể dùng để đổi tất cả các đạo cụ",,item_data1.luac
4,Tài Sản,Xu xxxx,4,4.png,icons/item/4.png,"=IMAGE(""icons/item/4.png"")","Xu có siêu vip do Tôm Sama chế tạo, có thể dùng để đổi nhiều vật phẩm giá trị",,item_data1.luac
5,EXP,EXP,5,5.png,icons/item/5.png,"=IMAGE(""icons/item/5.png"")",Một biểu tượng cho sự huấn luyện nghiêm ngặt của Ninja. Cần khi muốn tăng cấp,,item_data1.luac
6,EXP,Ω343,6,6.png,icons/item/6.png,"=IMAGE(""icons/item/6.png"")",Ω344,,item_data1.luac
7,Tài Sản,Thông Tin Nhiệm Vụ,7,7.png,icons/item/7.png,"=IMAGE(""icons/item/7.png"")",Có được nó để thực hiện các Nhiệm vụ Học Viện,,item_data1.luac
8,Tài Sản,Danh Vọng Đấu Trường,8,8.png,icons/item/8.png,"=IMAGE(""icons/item/8.png"")",Một biểu tượng của vinh quang trong Đấu trường. Được sử dụng để đổi lấy các vật phẩm trong Cửa Hàng Đấu Trường,,item_data1.luac
9,Tài Sản,Năng Động,9,9.png,icons/item/9.png,"=IMAGE(""icons/item/9.png"")",Một biểu tượng cho sự năng động của bạn. Thu thập để đổi lấy rương Năng Động,,item_data1.luac
10,Tài Sản,Cống Hiến Gia Tộc,10,10.png,icons/item/10.png,"=IMAGE(""icons/item/10.png"")",Biểu tượng của một Gia Tộc thịnh vượng. Được sử dụng để nâng cấp các kỹ năng của Gia Tộc hoặc đổi lấy các vật phẩm trong Cửa hàng Gia Tộc,,item_data1.luac
11,Tài Sản,Pha lê Ninja,11,11.png,icons/item/11.png,"=IMAGE(""icons/item/11.png"")",Biểu tượng của một Ninja. Tái chế Ninja và đổi lấy mảnh vỡ tại Cửa Hàng Ninja,,item_data1.luac
12,Tài Sản,Điểm Sôi Nổi,12,12.png,icons/item/12.png,"=IMAGE(""icons/item/12.png"")",Một biểu tượng của thành tựu. Hoàn thành nhiệm vụ để nhận được điểm danh hiệu,,item_data1.luac
13,Tài Sản,Ω341,13,13.png,icons/item/13.png,"=IMAGE(""icons/item/13.png"")",Ω342,,item_data1.luac
14,Tài Sản,Điểm Bạn Bè,14,14.png,icons/item/14.png,"=IMAGE(""icons/item/14.png"")","Chứng nhận tình bạn giữa bạn bè, dùng để đổi các vật phẩm trong cửa hàng điểm",,item_data1.luac
15,Tài Sản,Ω339,15,15.png,icons/item/15.png,"=IMAGE(""icons/item/15.png"")",Ω340,,item_data1.luac
